experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,run_dir,best_epoch,selection_metric,best_score,split,class_name,f1
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,dog,0.7666098807495741
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,opossum,0.860311958405546
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,rabbit,0.7070217917675545
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,raccoon,0.6589928057553956
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,rodent,0.4
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,skunk,0.7965367965367965
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,squirrel,0.5341614906832298
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,bird,0.18028169014084508
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,bobcat,0.5568708183221822
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,cat,0.27671232876712326
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,coyote,0.6052773290253096
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,dog,0.7460545193687231
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,opossum,0.7080197248896963
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,rabbit,0.20166073546856464
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,raccoon,0.5672093903824309
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,rodent,0.05333333333333334
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,skunk,0.6115288220551378
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,squirrel,0.4682274247491639
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128,val,bird,0.7323943661971831
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128,val,bobcat,0.34913793103448276
